Input,Model Name,F1 (Window),Accuracy (Window),Jaccard (Window),F1 (Frame),Accuracy (Frame),Jaccard (Frame),Training Time (s),Inference Rate (ms per frame/window)
video,CNN,0.711 ± 0.047,0.676 ± 0.029,0.554 ± 0.058,,,,0.31 ± 0.01,0.86 ± 0.02
video,LSTM,0.670 ± 0.041,0.673 ± 0.024,0.537 ± 0.045,,,,0.95 ± 0.05,0.93 ± 0.06
video,Siamese CNN,0.674 ± 0.038,0.661 ± 0.028,0.510 ± 0.045,,,,4.41 ± 0.18,1.32 ± 0.01
video,Siamese LSTM,0.701 ± 0.021,0.667 ± 0.016,0.540 ± 0.025,,,,6.04 ± 0.10,1.65 ± 0.02
video,TeCNo,0.709 ± 0.042,0.673 ± 0.026,0.551 ± 0.052,0.684 ± 0.038,0.669 ± 0.025,0.521 ± 0.045,2.38 ± 0.12,67.95 ± 13.71
video,TransSVNet,0.681 ± 0.064,0.647 ± 0.046,0.520 ± 0.075,0.662 ± 0.058,0.647 ± 0.038,0.497 ± 0.067,15.35 ± 0.44,1.60 ± 0.20
video,COG,0.706 ± 0.057,0.666 ± 0.031,0.548 ± 0.066,0.687 ± 0.051,0.667 ± 0.025,0.525 ± 0.058,25.07 ± 0.56,1.95 ± 0.25
kinematics,CNN,0.700 ± 0.039,0.631 ± 0.033,0.539 ± 0.046,,,,0.33 ± 0.01,0.98 ± 0.06
kinematics,LSTM,0.69 ± 0.06,0.63 ± 0.02,0.54 ± 0.07,,,,0.30 ± 0.02,1.17 ± 0.07
kinematics,Siamese CNN,0.63 ± 0.03,0.58 ± 0.02,0.46 ± 0.04,,,,3.61 ± 0.04,1.42 ± 0.01
kinematics,Siamese LSTM,0.60 ± 0.04,0.62 ± 0.05,0.43 ± 0.04,,,,3.72 ± 0.02,1.75 ± 0.02
kinematics,TeCNo,0.694 ± 0.038,0.663 ± 0.035,0.532 ± 0.045,0.679 ± 0.030,0.669 ± 0.029,0.514 ± 0.035,2.19 ± 0.04,73.66 ± 13.97
kinematics,TransSVNet,0.647 ± 0.024,0.608 ± 0.010,0.478 ± 0.026,0.630 ± 0.026,0.611 ± 0.011,0.461 ± 0.027,15.15 ± 0.33,1.66 ± 0.35
kinematics,COG,0.648 ± 0.082,0.643 ± 0.046,0.486 ± 0.095,0.636 ± 0.076,0.651 ± 0.040,0.471 ± 0.086,25.07 ± 0.56,1.95 ± 0.25
multimodal,CNN,0.711 ± 0.039,0.676 ± 0.025,0.553 ± 0.048,,,,1.49 ± 0.03,1.04 ± 0.20
multimodal,LSTM,0.716 ± 0.051,0.673 ± 0.038,0.560 ± 0.064,,,,1.46 ± 0.07,1.08 ± 0.07
multimodal,Siamese CNN,0.679 ± 0.030,0.661 ± 0.024,0.515 ± 0.035,,,,6.44 ± 0.09,1.30 ± 0.02
multimodal,Siamese LSTM,0.701 ± 0.027,0.667 ± 0.027,0.540 ± 0.034,,,,6.34 ± 0.27,1.62 ± 0.02
multimodal,TeCNo,0.700 ± 0.041,0.668 ± 0.022,0.540 ± 0.050,0.678 ± 0.039,0.668 ± 0.023,0.514 ± 0.046,2.49 ± 0.05,65.17 ± 11.41
multimodal,TransSVNet,0.712 ± 0.041,0.665 ± 0.022,0.554 ± 0.050,0.679 ± 0.041,0.655 ± 0.022,0.515 ± 0.048,15.49 ± 0.31,1.61 ± 0.20
multimodal,COG,0.732 ± 0.046,0.685 ± 0.028,0.579 ± 0.058,0.709 ± 0.033,0.672 ± 0.027,0.550 ± 0.040,25.07 ± 0.56,1.95 ± 0.25
